City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,Grand Gaube,MU,75.99,light rain,-20.0064,57.6608,
133,Karratha,AU,81.57,clear sky,-20.7377,116.8463,
134,Georgetown,MY,82.99,few clouds,5.4112,100.3354,
135,Gamba,GA,77.92,overcast clouds,-2.65,10.0,
141,Alofi,NU,84.2,scattered clouds,-19.0595,-169.9187,
144,Kumo,NG,82.02,scattered clouds,10.0447,11.2122,
148,San Teodoro,PH,78.01,overcast clouds,13.4375,121.0193,
150,Pundaguitan,PH,81.36,broken clouds,6.3711,126.1689,
152,Souillac,MU,78.8,light rain,-20.5167,57.5167,
153,Vanimo,PG,79.38,overcast clouds,-2.6741,141.3028,
157,Paraiso,CR,75.0,broken clouds,9.8383,-83.8656,
158,San Jose,US,88.0,clear sky,37.3394,-121.895,
159,Koulikoro,ML,82.18,clear sky,14.0,-7.75,
166,Sabang,ID,81.75,light rain,5.8933,95.3214,
172,Bengkulu,ID,75.69,overcast clouds,-3.8004,102.2655,
179,Pacific Grove,US,82.4,clear sky,36.6177,-121.9166,
184,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,
185,Itarema,BR,78.21,broken clouds,-2.9248,-39.9167,
189,Hirara,JP,75.2,broken clouds,24.8,125.2833,
190,Manadhoo,MV,83.84,overcast clouds,5.7667,73.3833,
199,Sinnamary,GF,77.45,overcast clouds,5.3833,-52.95,
200,Gilbues,BR,78.87,overcast clouds,-9.8317,-45.3439,
201,Lorengau,PG,82.94,overcast clouds,-2.0226,147.2712,
203,Itupiranga,BR,84.2,light rain,-5.1347,-49.3267,
206,Lamu,KE,84.2,scattered clouds,-2.2717,40.902,
208,Sur,OM,82.8,clear sky,22.5667,59.5289,
211,Loandjili,CG,80.6,light rain,-4.7561,11.8578,
215,Port Keats,AU,77.76,overcast clouds,-14.25,129.55,
219,Cap Malheureux,MU,75.99,light rain,-19.9842,57.6142,
220,Hsinchu,TW,75.99,clear sky,24.8036,120.9686,
223,Nanakuli,US,84.2,few clouds,21.3906,-158.1547,
227,Miri,MY,77.0,scattered clouds,4.4148,114.0089,
228,Dzaoudzi,YT,80.6,clear sky,-12.7887,45.2699,
229,Isla Vista,US,82.4,clear sky,34.4133,-119.861,
230,Touros,BR,80.6,scattered clouds,-5.1989,-35.4608,
232,Hithadhoo,MV,83.28,scattered clouds,-0.6,73.0833,
234,Teknaf,BD,75.87,clear sky,20.8624,92.3058,
235,Yarada,IN,82.4,mist,17.65,83.2667,
236,Singapore,SG,80.6,broken clouds,1.2897,103.8501,
238,Bandarbeyla,SO,76.26,scattered clouds,9.4942,50.8122,
248,Manggar,ID,77.5,overcast clouds,-2.8833,108.2667,
251,Esmeraldas,BR,80.6,clear sky,-19.7625,-44.3139,
254,Kavaratti,IN,83.12,overcast clouds,10.5669,72.642,
255,Harper,LR,78.78,scattered clouds,4.375,-7.7169,
261,Adre,TD,75.79,broken clouds,13.4667,22.2,
267,Faanui,PF,82.62,broken clouds,-16.4833,-151.75,
275,Bandrele,YT,80.6,light rain,-12.9067,45.1914,
277,Tsabong,BW,79.48,broken clouds,-26.0217,22.401,
279,Labuhan,ID,77.2,overcast clouds,-6.8844,112.2051,
284,Fare,PF,82.74,overcast clouds,-16.7,-151.0167,
286,Wajir,KE,81.5,scattered clouds,1.7471,40.0573,
287,Waingapu,ID,78.39,overcast clouds,-9.6567,120.2641,
291,Mayumba,GA,78.71,light rain,-3.432,10.6554,
296,Bubaque,GW,75.87,clear sky,11.2833,-15.8333,
299,Kodinar,IN,75.31,few clouds,20.7903,70.7031,
301,Santa Isabel Do Rio Negro,BR,75.69,overcast clouds,-0.4139,-65.0192,
303,Tautira,PF,87.8,moderate rain,-17.7333,-149.15,
304,Lake Havasu City,US,87.8,clear sky,34.4839,-114.3224,
308,Wanning,CN,76.06,few clouds,18.8003,110.3967,
309,Verrettes,HT,86.0,few clouds,19.05,-72.4667,
310,Ekpoma,NG,75.88,few clouds,6.7421,6.138999999999999,
312,Vila Velha,BR,77.0,overcast clouds,-20.3297,-40.2925,
316,Bushehr,IR,75.4,broken clouds,28.9684,50.8385,
318,Ippy,CF,78.06,broken clouds,6.2679,21.2247,
323,Kollo,NE,84.2,clear sky,13.3043,2.339,
324,Katobu,ID,76.98,overcast clouds,-4.9408,122.5276,
327,Bosaso,SO,79.39,few clouds,11.2842,49.1816,
337,Dehloran,IR,76.08,overcast clouds,32.6941,47.2679,
339,Pucallpa,PE,84.2,scattered clouds,-8.3791,-74.5539,
340,Bonthe,SL,79.36,scattered clouds,7.5264,-12.505,
345,Salalah,OM,77.0,clear sky,17.0151,54.0924,
347,Coahuayana,MX,86.0,scattered clouds,18.7333,-103.6833,
348,Caxito,AO,80.6,few clouds,-8.5785,13.6643,
349,Labrea,BR,75.15,broken clouds,-7.2586,-64.7981,
352,Tucurui,BR,75.65,heavy intensity rain,-3.7661,-49.6725,
353,Kalmunai,LK,76.98,few clouds,7.4167,81.8167,
356,Jawhar,SO,79.21,overcast clouds,2.7809,45.5005,
357,Sao Jose Da Coroa Grande,BR,79.39,scattered clouds,-8.8978,-35.1478,
372,Sola,VU,84.2,broken clouds,-13.8833,167.55,
375,Gouyave,GD,80.6,few clouds,12.1646,-61.7296,
377,Kouroussa,GN,84.25,clear sky,10.65,-9.8833,
378,Nicoya,CR,89.6,clear sky,10.1483,-85.45200000000001,
381,Acarau,BR,78.57,broken clouds,-2.8856,-40.12,
388,Ixtapa,MX,77.0,clear sky,20.7,-105.2,
394,Ambon,ID,78.8,few clouds,-3.6954,128.1814,
402,Half Moon Bay,US,77.0,clear sky,37.4636,-122.4286,
404,Pacifica,US,80.6,clear sky,37.6138,-122.4869,
420,Inirida,CO,76.03,overcast clouds,3.8653,-67.9239,
421,Port Hueneme,US,84.2,clear sky,34.1478,-119.1951,
424,Kibala,TD,84.2,clear sky,9.1104,18.3463,
429,Laguna,US,84.2,clear sky,38.421,-121.4238,
433,La Montanita,CO,75.61,overcast clouds,1.4766,-75.4398,
434,Catio,GW,75.02,clear sky,11.2833,-15.25,
441,Puerto Baquerizo Moreno,EC,80.6,scattered clouds,-0.9,-89.6,
444,Pauini,BR,75.27,light rain,-7.7136,-66.9764,
447,Aitape,PG,78.94,overcast clouds,-3.1374,142.3475,
449,Alice Town,BS,75.45,overcast clouds,25.7167,-79.3,
454,Denpasar,ID,78.8,scattered clouds,-8.65,115.2167,
456,Maceio,BR,77.0,clear sky,-9.6658,-35.7353,
457,Iracoubo,GF,77.43,overcast clouds,5.4802,-53.2011,
459,Lompoc,US,75.99,clear sky,34.6391,-120.4579,
460,Makakilo City,US,84.2,few clouds,21.3469,-158.0858,
461,Honiara,SB,85.1,overcast clouds,-9.4333,159.95,
462,Dicabisagan,PH,78.04,few clouds,17.0818,122.4157,
463,Tevaitoa,PF,82.58,overcast clouds,-16.7833,-151.5,
464,Tayu,ID,77.5,overcast clouds,-6.5397,111.0518,
465,Siparia,TT,80.01,overcast clouds,10.1333,-61.5,
469,Nargana,PA,80.2,broken clouds,9.4428,-78.5906,
478,Atmakur,IN,80.26,overcast clouds,15.8833,78.5833,
480,Buala,SB,84.94,overcast clouds,-8.145,159.5921,
482,Suba,PH,82.29,overcast clouds,10.8438,121.0102,
483,Ormara,PK,82.27,clear sky,25.2088,64.6357,
490,Saquarema,BR,80.6,scattered clouds,-22.92,-42.5103,
493,Cabedelo,BR,80.6,few clouds,-6.9811,-34.8339,
497,Sibolga,ID,75.6,broken clouds,1.7427,98.7792,
502,Chiang Klang,TH,76.17,clear sky,19.2938,100.8617,
503,Conde,BR,80.6,few clouds,-7.2597,-34.9075,
504,Kupang,ID,75.2,overcast clouds,-10.1667,123.5833,
505,Alcantara,BR,80.6,moderate rain,-2.4089,-44.4147,
513,Balikpapan,ID,76.17,light rain,-1.2675,116.8289,
514,Kieta,PG,83.26,broken clouds,-6.2167,155.6333,
521,Namatanai,PG,83.68,light rain,-3.6667,152.4333,
525,Rabak,SD,82.8,clear sky,13.1809,32.74,
528,Gigmoto,PH,80.13,overcast clouds,13.7796,124.39,
532,Ugoofaaru,MV,83.64,overcast clouds,5.6667,73.0,
535,Hambantota,LK,78.66,few clouds,6.1241,81.1185,
541,Port Blair,IN,81.01,moderate rain,11.6667,92.75,
544,Bani,DO,80.01,clear sky,18.2833,-70.3333,
548,Key West,US,82.4,clear sky,24.5557,-81.7826,
549,Pandan,PH,80.2,overcast clouds,14.0453,124.1694,
551,Carira,BR,75.69,broken clouds,-10.3608,-37.7011,
552,Trat,TH,81.0,overcast clouds,12.5,102.5,
553,Banda Aceh,ID,78.89,light rain,5.5577,95.3222,
554,Taoudenni,ML,86.76,broken clouds,22.6783,-3.9836,
555,Dwarka,IN,77.94,clear sky,22.2394,68.9678,
558,San Policarpo,PH,81.1,overcast clouds,12.1791,125.5072,
564,Mount Isa,AU,78.8,clear sky,-20.7333,139.5,
565,Sechura,PE,79.27,scattered clouds,-5.5569,-80.8222,
575,Daru,PG,78.13,light rain,-9.0763,143.2092,
578,Veraval,IN,76.64,few clouds,20.9,70.3667,
584,Conceicao Da Barra,BR,76.84,few clouds,-18.5933,-39.7322,
590,Adrar,MR,82.08,overcast clouds,20.5022,-10.0711,
594,Ouahigouya,BF,81.5,clear sky,13.5828,-2.4216,
597,Takoradi,GH,80.13,few clouds,4.8845,-1.7554,
600,Wete,TZ,77.85,overcast clouds,-5.0559,39.7294,
604,Pitimbu,BR,80.6,few clouds,-7.4706,-34.8086,
608,Magdalena,PH,82.0,few clouds,14.1999,121.429,
609,Buchanan,LR,79.07,broken clouds,5.8808,-10.0467,
611,Manuk Mangkaw,PH,81.97,overcast clouds,4.8,119.85,
612,Mangrol,IN,76.68,few clouds,21.1167,70.1167,
613,Caravelas,BR,77.23,scattered clouds,-17.7125,-39.2481,
616,Canutama,BR,75.04,overcast clouds,-6.5339,-64.3831,
623,Luanda,AO,80.6,few clouds,-8.8368,13.2343,
626,Riyadh,SA,80.6,clear sky,24.6877,46.7219,
630,Ladario,BR,86.0,broken clouds,-19.0047,-57.6017,
634,Kununurra,AU,75.2,overcast clouds,-15.7667,128.7333,
637,Am Timan,TD,85.14,scattered clouds,11.0297,20.2827,
639,Berbera,SO,77.94,clear sky,10.4396,45.0143,
640,Punta Cardon,VE,78.76,broken clouds,11.6581,-70.215,
641,Panaba,MX,80.73,few clouds,21.2833,-88.2667,
643,Salvador,SV,87.8,clear sky,13.8333,-88.9167,
645,Tiarei,PF,87.8,light rain,-17.5333,-149.3333,
647,Belmonte,BR,80.6,moderate rain,-15.8631,-38.8828,
652,Nambour,AU,75.99,overcast clouds,-26.6333,152.95,
657,Mareeba,AU,78.8,broken clouds,-17.0,145.4333,
662,La Ermita,MX,82.72,clear sky,20.4139,-101.9936,
670,Moerai,PF,80.53,clear sky,-22.4333,-151.3333,
675,Coalinga,US,84.0,scattered clouds,36.1397,-120.3602,
679,Anloga,GH,84.2,few clouds,5.7947,0.8973,
683,Campo Grande,BR,77.0,few clouds,-20.4428,-54.6464,
684,Pindiga,NG,79.88,scattered clouds,9.9833,10.9333,Accommodation Center
